i	Degree	Interconnections	CC	APL	SS
146	471	69593	0.62875	1.76468	3.00000
147	2	1	1.00000	2.86972	4.00000
148	271	21448	0.58625	1.87745	3.00000
149	165	13530	1.00000	1.94748	3.00000
150	228	17458	0.67463	1.90783	3.00000
151	287	26258	0.63980	1.86148	3.00000
152	654	122382	0.57313	1.66941	3.00000
153	512	90609	0.69264	1.74305	3.00000
154	522	93727	0.68927	1.73738	3.00000
155	672	125102	0.55488	1.65860	3.00000
156	673	122549	0.54195	1.65860	3.00000
157	121	5167	0.71171	1.98713	4.00000
158	627	114518	0.58353	1.68177	3.00000
159	532	98203	0.69526	1.73172	3.00000
160	557	99879	0.64502	1.71936	3.00000
161	298	27720	0.62640	1.86097	3.00000
162	86	2285	0.62517	2.00154	3.00000
163	476	78456	0.69399	1.76416	3.00000
164	178	7013	0.44519	1.92791	3.00000
165	170	7241	0.50407	1.93563	3.00000
166	450	75603	0.74836	1.77652	3.00000
167	64	1080	0.53571	2.04325	3.00000
168	754	131222	0.46224	1.61483	3.00000
169	204	9075	0.43828	1.91040	3.00000
170	120	5062	0.70896	1.97631	3.00000
171	106	2595	0.46631	1.97580	3.00000
172	300	30032	0.66961	1.85736	3.00000
173	518	95582	0.71382	1.73996	3.00000
174	17	136	1.00000	2.28939	3.00000
175	227	22150	0.86351	1.90422	3.00000
176	32	496	1.00000	2.16066	3.00000
177	125	5184	0.66890	1.97322	3.00000
178	189	14655	0.82489	1.93203	3.00000
179	77	1669	0.57040	2.02472	3.00000
180	38	703	1.00000	2.10556	3.00000
181	56	953	0.61883	2.06076	3.00000
182	631	115753	0.58236	1.67971	3.00000
183	43	761	0.84275	2.09114	3.00000
184	39	552	0.74494	2.09629	3.00000
185	549	68892	0.45798	1.72657	3.00000
186	455	67293	0.65153	1.77394	3.00000
187	74	1567	0.58016	2.01339	3.00000
188	242	16704	0.57282	1.89238	3.00000
189	414	48109	0.56274	1.79506	3.00000
190	119	3454	0.49195	1.97271	3.00000
191	646	112039	0.53778	1.67353	3.00000
192	453	45504	0.44447	1.77240	3.00000
193	479	52286	0.45672	1.76159	3.00000
194	244	20578	0.69412	1.89186	3.00000
195	149	5661	0.51342	1.94954	3.00000
196	558	92239	0.59355	1.71833	3.00000
197	417	64612	0.74493	1.79454	3.00000
198	240	15062	0.52517	1.89804	3.00000
199	462	71982	0.67594	1.77137	3.00000
200	425	55944	0.62091	1.79351	3.00000
201	751	151532	0.53806	1.61689	3.00000
202	605	114502	0.62669	1.69361	3.00000
203	731	117254	0.43946	1.62667	3.00000
204	679	139935	0.60793	1.65499	3.00000
205	162	4366	0.33479	1.93821	3.00000
206	32	496	1.00000	2.09269	3.00000
207	50	717	0.58531	2.04377	3.00000
208	372	60786	0.88088	1.81977	3.00000
209	338	34339	0.60294	1.83574	3.00000
210	148	7730	0.71061	1.95623	3.00000
211	156	5455	0.45120	1.94078	3.00000
212	104	2396	0.44735	1.97992	3.00000
213	114	3151	0.48921	1.97013	3.00000
214	173	11019	0.74062	1.93100	3.00000
215	474	51372	0.45827	1.76210	3.00000
216	828	169836	0.49605	1.57570	3.00000
217	151	7186	0.63453	1.94593	3.00000
218	169	6858	0.48309	1.93254	3.00000
219	720	133720	0.51661	1.63182	3.00000
220	136	4582	0.49913	1.96138	3.00000
221	78	1675	0.55778	2.00669	3.00000
222	434	40705	0.43321	1.78733	3.00000
223	343	30052	0.51237	1.83419	3.00000
224	350	24728	0.40488	1.82853	3.00000
225	888	177895	0.45171	1.54634	3.00000
226	359	34416	0.53557	1.82183	3.00000
227	739	136305	0.49985	1.62204	3.00000
228	150	6881	0.61575	1.95572	3.00000
229	336	33411	0.59366	1.83831	3.00000
230	76	2158	0.75719	2.02420	3.00000
231	145	6710	0.64272	1.96241	3.00000
232	53	1072	0.77794	2.05458	3.00000
233	42	487	0.56562	2.10917	3.00000
234	95	3514	0.78701	1.99434	3.00000
235	296	29395	0.67327	1.85994	3.00000
236	127	6538	0.81715	1.95469	3.00000
237	588	97840	0.56693	1.70237	3.00000
238	121	7260	1.00000	1.98455	3.00000
239	328	34870	0.65022	1.84604	3.00000
240	346	36867	0.61769	1.83522	3.00000
241	420	43803	0.49782	1.79094	3.00000
242	519	65703	0.48879	1.74202	3.00000
243	217	14980	0.63919	1.91555	3.00000
244	298	23650	0.53443	1.85839	3.00000
245	322	29386	0.56860	1.85221	3.00000
246	153	8387	0.72128	1.95572	3.00000
247	294	22349	0.51889	1.86869	3.00000
248	248	16477	0.53797	1.89547	3.00000
249	342	23210	0.39804	1.83883	3.00000
250	369	60678	0.89369	1.82235	3.00000
251	231	22571	0.84965	1.90268	3.00000
252	138	4136	0.43753	1.95057	3.00000
253	46	552	0.53333	2.05973	3.00000
254	230	15689	0.59575	1.89701	3.00000
255	336	32147	0.57120	1.83522	3.00000
256	352	34847	0.56409	1.82544	3.00000
257	75	1694	0.61045	1.99846	3.00000
258	67	1475	0.66712	2.02111	3.00000
259	256	20189	0.61854	1.88311	3.00000
260	183	8799	0.52837	1.92585	3.00000
261	213	9752	0.43192	1.89907	3.00000
262	207	14959	0.70161	1.91143	3.00000
263	445	75654	0.76581	1.78012	3.00000
264	85	3570	1.00000	2.01905	3.00000
265	286	29150	0.71525	1.86560	3.00000
266	577	100988	0.60772	1.70700	3.00000
267	178	8672	0.55050	1.93151	3.00000
268	129	5139	0.62246	1.96395	3.00000
269	288	26905	0.65101	1.86766	3.00000
270	219	11670	0.48888	1.90628	3.00000
271	94	3669	0.83940	2.00154	3.00000
272	154	5976	0.50726	1.95263	3.00000
273	510	81516	0.62804	1.74356	3.00000
274	357	59737	0.94006	1.82801	3.00000
275	436	69881	0.73691	1.78579	3.00000
276	396	63044	0.80609	1.80587	3.00000
277	597	103687	0.58282	1.69979	3.00000
278	368	60675	0.89852	1.82183	3.00000
279	649	137163	0.65230	1.67096	3.00000
280	408	64626	0.77836	1.80021	3.00000
281	531	92699	0.65877	1.73172	3.00000
282	751	160881	0.57126	1.61535	3.00000
283	682	140273	0.60405	1.65396	3.00000
284	649	137163	0.65230	1.67096	3.00000
285	404	63598	0.78124	1.79918	3.00000
286	654	137416	0.64354	1.66838	3.00000
287	368	60400	0.89444	1.82183	3.00000
288	659	138374	0.63822	1.66581	3.00000
